id,slug,title,modified,chars,divi,lang,in_nav
22,zondagdienst,Zondagdienst,2025-08-25,3948,yes,nl,Zondagdienst
773,vrijwilligers,Vrijwilligers,2025-08-21,2474,yes,mixed,Vrijwilligers
812,activiteiten,Activiteiten,2025-08-25,1960,yes,nl,Activiteiten
767,geestelijk,Geestelijk,2025-08-26,1772,yes,nl,Levensvragen
761,home-3,Home,2026-02-04,1461,yes,nl,Home
771,media,Media,2025-08-26,823,yes,en,Media
763,diensten,Diensten,2025-08-26,755,yes,nl,Rituelen en Ceremoniën
769,kennis-2,Kennis,2025-08-26,348,yes,nl,Kennis
777,contact-4,Contact,2025-08-30,234,yes,-,Contact
26,jaarprogramma,Jaarprogramma 2025,2026-02-04,0,yes,-,Jaarprogramma 2026
153,overige-hoogtijdagen,Overige hoogtijdagen,2015-07-15,7019,no,nl,
161,algemene-beginselen,Algemene beginselen,2015-07-16,6160,no,nl,
56,mantras,Mantra’s,2015-07-16,5097,no,nl,
111,vedische-astrologie,Vedische astrologie,2015-07-15,4423,no,nl,
591,festivals,Festivals,2025-08-20,3762,yes,nl,
593,educatie,Educatie,2025-08-20,3492,yes,nl,
814,kennis-3,Kennis,2025-08-21,3255,yes,nl,
692,donate,Donate,2025-08-21,3202,yes,en,
172,ramayan,Ramayan,2015-07-15,2627,no,nl,
810,diensten-2,Diensten,2025-08-21,2530,yes,nl,
822,faq-2,FAQ,2025-08-21,2408,yes,en,
684,home-2,Home,2025-08-21,2382,yes,en,
824,contact-5,Contact,2025-08-23,2359,yes,en,
818,donatie,Donatie,2025-08-25,2108,yes,nl,
765,kalender,Kalender,2025-08-21,1996,yes,en,
595,contact-2,Contact,2025-08-20,1959,yes,nl,
820,vrijwilligers-2,Vrijwilligers,2025-08-21,1946,yes,en,
585,home,Home,2025-08-20,1911,yes,nl,
587,about,About,2025-08-20,1819,yes,nl,
589,rituelen,Rituelen,2025-08-20,1802,yes,nl,
775,faq,FAQ,2025-08-21,1775,yes,en,
41,welkom,Welkom,2025-01-13,1685,yes,nl,
816,media-2,Media,2025-08-21,1614,yes,en,
249,shiva-mantra,Shiva mantra,2015-07-16,1594,no,nl,
808,home-4,Home,2025-08-25,1429,yes,en,
688,impact,Impact,2025-08-21,1402,yes,en,
100,hanuman-jayanti,Hanuman jayanti,2015-07-15,1368,no,nl,
98,nauratri,Nauratri,2015-07-15,1235,no,nl,
686,about-2,About,2025-08-21,1150,yes,en,
224,vishnu-aarti,Vishnu Aarti,2015-07-16,1086,no,-,
226,durga-aarti,Durga Aarti,2015-07-16,1077,no,-,
416,416-2,Welcome,2017-10-17,982,no,en,
109,yagya,Yagya,2015-07-15,911,no,nl,
230,krishna-aarti,Krishna Aarti,2015-07-16,852,no,-,
2,sample-page,Sample Page,2014-06-20,848,no,en,
228,hanuman-aarti,Hanuman Aarti,2015-07-16,824,no,nl,
58,aartis,Aarti’s,2015-07-16,806,no,nl,
174,mahabharat-bhagavat-gita,Mahabharat & Bhagavat Gita,2015-07-15,771,no,nl,
176,vedas,Veda’s,2015-07-15,748,no,nl,
222,shiva-aarti,Shiva Aarti,2015-07-16,673,no,-,
247,gayatri-mantra,Gayatri mantra,2015-07-16,631,no,nl,
107,puja,puja,2023-11-22,584,yes,nl,
96,maha-shivratri,Maha Shivratri,2015-07-15,535,no,nl,
690,get-involved,Get-involved,2025-08-21,504,yes,en,
698,contact-3,Contact,2025-08-21,275,yes,en,
31,fotos,Foto’s,2015-10-28,269,no,-,
251,durga-mantra,Ganesh mantra,2015-07-16,235,no,nl,
79,muziekles,Muziekles,2025-08-25,208,yes,nl,
64,openingstijden,openingstijden,2024-01-11,196,no,nl,
73,cursussen,Cursussen,2025-08-25,184,yes,nl,
66,donatiegegevens,Donatiegegevens,2015-07-16,158,no,-,
48,contact,Contact,2015-07-30,133,no,nl,
91,beleving,Beleving,2015-07-16,118,no,nl,
68,routebeschrijving,Contactgegevens,2024-01-11,106,no,-,
679,winkelwagen,Winkelwagen,2025-08-21,88,no,nl,
83,harmoniumles,Harmoniumles,2025-01-13,86,no,nl,
81,dholles,Dholles,2025-01-13,86,no,nl,
75,yoga,Yoga,2025-01-13,86,no,nl,
94,uitleg-hoogtijdagen,Uitleg hoogtijdagen,2015-07-15,81,no,nl,
54,geschriften,Geschriften,2015-07-15,76,no,nl,
262,durga-mantra-2,Durga mantra,2015-07-16,54,no,-,
46,links,Links,2015-07-16,42,no,-,
683,terms-and-conditions,Terms and Conditions,2025-08-21,39,no,en,
77,hindiles,Hindiles,2025-01-13,32,no,nl,
279,uitnodigingen,Uitnodigingen,2015-08-18,30,no,-,
696,blog,Blog,2025-08-21,0,yes,-,
694,shop,Shop,2025-08-21,0,yes,-,
681,mijn-account,Mijn account,2025-08-21,0,no,-,
680,afrekenen,Afrekenen,2025-08-21,0,no,-,
678,winkel,Winkel,2025-08-21,0,no,-,
116,social-media,social media,2015-04-16,0,no,-,
52,kennis,Kennis,2015-04-14,0,no,-,
